ID,NAME,GENDER,KOREAN_GRADE,ENGLISH_GRADE,MATH_GRADE
100484,Zander,M,90,82,69
100485,Brady,M,18,78,21
100486,Jorge,M,31,6,91
100487,Adelyn,F,72,59,2
100488,Alivia,F,19,59,52
100489,Jake,M,2,26,23
100490,Noelle,F,85,1,6
100491,Gemma,F,96,71,84
100492,Vanessa,F,34,27,49
100493,Louis,M,53,45,98
100494,Journey,F,59,58,95
100495,Makayla,F,76,27,14
100496,Angelina,F,28,10,14
100497,Adaline,F,13,59,94
100498,Catalina,F,4,21,32
100499,Alayna,F,53,65,41
100500,Julianna,F,6,49,51
100501,Leila,F,22,11,38
100502,Lola,F,10,92,88
100503,Damien,M,67,46,66
100504,Adriana,F,34,6,6
100505,June,F,55,54,90
100506,Juliet,F,55,57,25
100507,Karson,M,47,19,82
100508,Jayla,F,33,80,13
100509,Walker,M,29,65,43
100510,Maximiliano,M,58,93,65
100511,River,F,37,97,42
100512,Tessa,F,26,4,79
100513,Amari,M,84,69,94
100514,Lia,F,43,14,26
100515,Sean,M,94,99,7
100516,Dakota,F,64,49,28
100517,Delaney,F,50,88,52
100518,Selena,F,44,47,80
100519,Blakely,F,24,62,87
100520,Chance,M,22,61,94
100521,Walter,M,67,70,2
100522,Ada,F,81,49,92
100523,Martin,M,66,96,89
100524,Finley,M,84,18,50
100525,Camille,F,43,83,59
100526,Zara,F,71,38,96
100527,Andre,M,37,51,82
100528,Tobias,M,71,32,31
100529,Cash,M,8,95,62
100530,Malia,F,76,6,78
100531,Hope,F,17,28,53
100532,Samara,F,20,71,61
100533,Vera,F,57,99,59
100534,Corbin,M,60,96,71
100535,Arlo,M,90,23,18
100536,Mckenna,F,57,81,16
100537,Iker,M,6,88,17
100538,Briella,F,37,65,35
100539,Izabella,F,68,98,6
100540,Erick,M,34,36,61
100541,Hayden,F,43,50,71
100542,Raegan,F,71,74,54
100543,Michelle,F,0,83,88
100544,Emerson,M,96,58,75
100545,Gunner,M,45,89,53
100546,Cody,M,24,5,59
100547,Angela,F,48,10,75
100548,Stephen,M,72,56,15
100549,Francisco,M,19,32,26
100550,Ruth,F,64,47,23
100551,Freya,F,22,46,37
100552,Kamila,F,56,45,7
100553,Vivienne,F,34,7,81
100554,Killian,M,23,85,73
100555,Aspen,F,73,57,85
100556,Olive,F,77,93,61
100557,Dallas,M,71,9,23
100558,Reid,M,17,33,3
100559,Kendall,F,86,0,41
100560,Manuel,M,49,7,32
100561,Elaina,F,82,87,49
100562,Lane,M,89,4,9
100563,Atlas,M,56,99,46
100564,Thea,F,22,24,9
100565,Kali,F,64,14,10
100566,Rylan,M,73,30,57
100567,Destiny,F,26,11,38
100568,Jensen,M,44,80,20
100569,Ronan,M,1,58,98
100570,Amiyah,F,94,84,35
100571,Evangeline,F,18,70,61
100572,Cali,F,19,67,28
100573,Beckham,M,61,53,95
100574,Blake,F,36,28,71
100575,Elsie,F,64,75,42
100576,Daxton,M,38,68,4
100577,Juniper,F,7,53,41
100578,Alexandria,F,47,69,71
100579,Myla,F,13,37,97
100580,Ariella,F,51,27,59
100581,Anderson,M,73,45,72
100582,Kate,F,16,14,4
100583,Kameron,M,98,1,39
100584,Raymond,M,84,77,9
100585,Mariana,F,3,54,92
100586,Lilah,F,54,45,74
100587,Charlee,F,68,53,88
100588,Orion,M,76,95,45
100589,Cristian,M,73,54,86
100590,Tanner,M,65,65,97
100591,Kyler,M,17,9,19
100592,Daleyza,F,50,79,44
100593,Nyla,F,1,28,41
100594,Jane,F,77,99,27
100595,Maggie,F,87,84,40
100596,Zuri,F,3,17,30
100597,Jett,M,59,81,54
100598,Cohen,M,99,15,62
100599,Ricardo,M,73,81,28
100600,Aniyah,F,30,59,91
100601,Lucille,F,42,74,2
100602,Leia,F,89,56,78
100603,Melissa,F,78,51,33
100604,Adelaide,F,79,58,98
100605,Amina,F,60,69,7
100606,Giselle,F,94,53,16
100607,Spencer,M,50,76,89
100608,Lena,F,92,50,46
100609,Gideon,M,54,33,87
100610,Ali,M,74,75,92
100611,Fernando,M,41,26,23
100612,Camilla,F,57,20,75
100613,Miriam,F,3,71,38
100614,Millie,F,58,42,5
100615,Brynn,F,63,36,35
100616,Gabrielle,F,80,65,28
100617,Sage,F,51,76,37
100618,Annie,F,41,84,29
100619,Jaiden,M,86,54,60
100620,Titus,M,21,4,8
100621,Logan,F,66,69,24
100622,Travis,M,7,12,37
100623,Bodhi,M,84,27,21
100624,Lilliana,F,63,82,68
100625,Eduardo,M,53,49,12
100626,Dante,M,11,10,20
100627,Haven,F,31,7,84
100628,Ellis,M,42,56,29
100629,Prince,M,26,49,82
100630,Jessica,F,79,10,6
100631,Kaia,F,98,44,44
100632,Kane,M,28,55,53
100633,Magnolia,F,46,6,4
100634,Luka,M,22,4,16
100635,Kash,M,91,56,44
100636,Amira,F,59,4,10
100637,Adelynn,F,1,26,83
100638,Makenzie,F,52,80,75
100639,Stephanie,F,21,64,28
100640,Hendrix,M,60,76,36
100641,Desmond,M,39,17,61
100642,Donovan,M,3,43,52
100643,Nina,F,33,5,71
100644,Phoebe,F,80,97,68
100645,Mario,M,68,81,1
100646,Atticus,M,37,87,75
100647,Cruz,M,9,24,26
100648,Garrett,M,71,41,85
100649,Arielle,F,89,47,77
100650,Evie,F,57,47,89
100651,Lyric,F,15,30,83
100652,Alessandra,F,8,75,37
100653,Hector,M,82,54,78
100654,Angelo,M,69,63,10
100655,Jeffrey,M,44,77,70
100656,Edwin,M,16,49,87
100657,Cesar,M,62,25,73
100658,Zayn,M,60,42,16
100659,Devin,M,46,39,5
100660,Conor,M,93,73,77
100661,Gabriela,F,58,88,51
100662,Warren,M,50,26,14
100663,Paislee,F,61,71,88
100664,Odin,M,45,57,84
100665,Raelyn,F,4,94,65
100666,Jayceon,M,5,77,7
100667,Madilyn,F,10,32,2
100668,Paris,F,86,5,72
100669,Makenna,F,34,34,78
100670,Romeo,M,32,11,27
100671,Kinley,F,67,24,89
100672,Julius,M,30,31,55
100673,Gracelyn,F,47,29,87
100674,Talia,F,51,21,76
100675,Jaylen,M,41,10,42
100676,Maeve,F,47,88,19
100677,Hayes,M,49,26,46
100678,Rylie,F,15,96,91
100679,Kayson,M,20,82,82
100680,Muhammad,M,75,62,4
100681,Jaxton,M,87,38,32
100682,Kiara,F,40,31,97
100683,Evelynn,F,44,34,32
100684,Brinley,F,10,97,66
100685,Joaquin,M,11,67,55
100686,Caiden,M,38,93,7
100687,Jacqueline,F,62,3,35
100688,Dakota,M,67,75,23
100689,Major,M,12,0,40
100690,Laura,F,59,63,94
100691,Keegan,M,17,78,57
100692,Sergio,M,79,67,17
100693,Marshall,M,46,62,45
100694,Johnny,M,78,53,8
100695,Gracelynn,F,5,15,41
100696,Kade,M,26,94,87
100697,Lexi,F,45,4,43
100698,Edgar,M,26,62,29
100699,Leonel,M,40,41,76
100700,Ariah,F,77,9,74
100701,Fatima,F,37,40,71
100702,Jennifer,F,64,51,9
100703,Ismael,M,6,8,63
100704,Marco,M,21,5,29
100705,Tyson,M,97,75,84
100706,Wade,M,87,24,98
100707,Kehlani,F,99,2,50
100708,Collin,M,79,2,37
100709,Alani,F,8,64,77
100710,Troy,M,54,49,20
100711,Ariyah,F,71,67,62
100712,Nasir,M,96,72,37
100713,Luciana,F,94,33,8
100714,Allie,F,70,19,29
100715,Heidi,F,38,86,5
100716,Conner,M,57,24,27
100717,Maci,F,97,0,38
100718,Phoenix,F,61,56,11
100719,Felicity,F,23,26,74
100720,Adonis,M,1,26,94
100721,Joy,F,45,54,63
100722,Jared,M,55,48,32
100723,Kenzie,F,9,75,20
100724,Veronica,F,73,10,69
100725,Rory,M,64,82,89
100726,Margot,F,39,7,33
100727,Andy,M,33,24,69
100728,Jase,M,95,25,6
100729,Lennox,M,21,36,3
100730,Addilyn,F,53,95,4
100731,Lana,F,39,24,32
100732,Shane,M,90,35,9
100733,Malik,M,30,77,70
100734,Cassidy,F,63,89,72
100735,Remington,F,9,98,60
100736,Saylor,F,85,60,62
100737,Ari,M,2,75,74
100738,Ryan,F,38,17,63
100739,Keira,F,80,30,70
100740,Harlow,F,69,99,73
100741,Miranda,F,67,99,16
100742,Reed,M,54,43,77
100743,Liam,M,67,50,8
100744,Emma,M,52,6,66
100745,Noah,M,80,74,56
100746,William,F,46,39,18
100747,Olivia,M,0,55,71
100748,Ava,M,34,56,66
100749,Isabella,F,25,59,91
100750,Sophia,F,5,41,56
100751,James,M,16,37,65
100752,Oliver,F,80,25,42
100753,Charlotte,F,73,92,63
100754,Benjamin,M,59,28,44
100755,Elijah,F,10,47,80
100756,Mia,M,27,94,7
100757,Lucas,F,83,60,74
100758,Logan,F,30,45,92
100759,Amelia,F,61,57,2
100760,Mason,M,28,60,96
100761,Alexander,F,91,12,50
100762,Ethan,M,37,3,67
100763,Jacob,M,92,28,95
100764,Michael,F,67,52,55
100765,Daniel,F,53,12,16
100766,Henry,M,25,62,55
100767,Harper,F,91,32,98
100768,Evelyn,M,20,50,56
100769,Jackson,F,96,59,38
100770,Sebastian,F,6,43,30
100771,Aiden,M,31,69,73
100772,Matthew,F,45,31,86
100773,Abigail,F,54,74,8
100774,Samuel,M,76,50,29
100775,David,M,77,49,9
100776,Joseph,M,20,99,4
100777,Owen,F,56,88,24
100778,Carter,M,43,90,26
100779,Wyatt,F,4,17,47
100780,John,M,83,87,88
100781,Emily,F,36,12,56
100782,Jack,M,5,46,56
100783,Luke,M,75,85,59
100784,Jayden,F,58,62,39
100785,Dylan,F,73,16,12
100786,Levi,F,96,48,53
100787,Elizabeth,M,69,79,73
100788,Grayson,M,25,79,20
100789,Isaac,M,13,53,75
100790,Gabriel,M,39,52,60
100791,Mateo,M,27,12,9
100792,Julian,M,5,91,12
100793,Mila,F,56,14,27
100794,Ella,M,20,41,78
100795,Avery,M,46,29,75
100796,Anthony,M,24,43,30
100797,Jaxon,M,48,42,93
100798,Sofia,M,27,84,88
100799,Camila,M,9,62,24
100800,Lincoln,F,75,90,76
100801,Aria,M,35,23,15
100802,Joshua,F,15,76,36
100803,Christopher,M,27,28,42
100804,Andrew,F,74,50,3
100805,Scarlett,F,99,57,85
100806,Victoria,F,71,39,89
100807,Madison,F,3,21,20
100808,Theodore,F,13,16,7
100809,Caleb,M,20,37,38
100810,Ryan,F,26,61,43
100811,Luna,F,39,65,37
100812,Asher,F,74,28,58
100813,Nathan,F,22,45,52
100814,Grace,F,33,71,8
100815,Leo,M,48,63,12
100816,Thomas,M,1,74,44
100817,Chloe,M,23,88,84
100818,Isaiah,F,17,88,38
100819,Charles,F,84,72,30
100820,Josiah,F,97,57,2
100821,Hudson,F,6,8,66
100822,Christian,F,68,69,85
100823,Penelope,F,37,50,45
100824,Layla,F,38,13,1
100825,Hunter,M,94,59,58
100826,Connor,F,64,41,85
100827,Eli,F,74,87,20
100828,Aaron,F,55,58,74
100829,Riley,M,26,57,48
100830,Ezra,M,21,90,0
100831,Landon,M,23,75,99
100832,Zoey,M,16,9,70
100833,Nora,F,67,9,69
100834,Adrian,F,27,58,14
100835,Jonathan,M,36,7,3
100836,Lily,F,57,27,32
100837,Hannah,F,13,38,17
100838,Eleanor,F,9,21,20
100839,Nolan,F,1,48,8
100840,Jeremiah,F,15,29,3
100841,Lillian,F,27,18,55
100842,Easton,F,60,42,79
100843,Elias,F,25,48,55
100844,Colton,F,13,7,66
100845,Carson,F,37,90,49
100846,Cameron,M,34,15,30
100847,Addison,F,17,12,30
100848,Ellie,F,54,63,39
100849,Aubrey,F,96,82,38
100850,Robert,F,96,82,69
100851,Stella,F,34,45,47
100852,Natalie,M,11,25,57
100853,Zoe,M,83,13,69
100854,Maverick,F,89,40,8
100855,Angel,M,49,38,39
100856,Nicholas,F,78,83,38
100857,Leah,F,5,37,48
100858,Hazel,F,44,89,61
100859,Violet,F,44,96,12
100860,Aurora,F,49,71,50
100861,Dominic,F,52,61,18
100862,Savannah,F,30,18,3
100863,Greyson,F,49,6,77
100864,Adam,F,63,31,94
100865,Jaxson,M,31,13,71
100866,Ian,F,21,92,72
100867,Audrey,M,98,23,15
100868,Jordan,F,39,77,13
100869,Austin,F,21,76,49
100870,Santiago,F,24,95,21
100871,Brooklyn,F,82,69,56
100872,Bella,M,89,24,35
100873,Cooper,F,13,52,16
100874,Brayden,F,95,26,67
100875,Claire,F,45,23,58
100876,Skylar,F,7,15,49
100877,Roman,M,81,22,14
100878,Lucy,F,90,62,4
100879,Evan,M,52,89,74
100880,Paisley,M,12,66,86
100881,Ezekiel,M,43,10,71
100882,Everly,M,66,27,77
100883,Xavier,F,12,70,7
